---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/243/995328        55775 ns        55775 ns        12593
SoAScan/244/999424        55686 ns        55685 ns        12363
SoAScan/245/1003520       55834 ns        55833 ns        12418
SoAScan/246/1007616       55847 ns        55847 ns        12463
SoAScan/247/1011712       55889 ns        55890 ns        12431
SoAScan/248/1015808       56095 ns        56095 ns        12399
SoAScan/249/1019904       57260 ns        57259 ns        12359
SoAScan/250/1024000       55974 ns        55974 ns        12373
SoAScan/251/1028096       56078 ns        56078 ns        12339
SoAScan/252/1032192       56127 ns        56128 ns        12301
SoAScan/253/1036288       56393 ns        56393 ns        12240
SoAScan/254/1040384       56491 ns        56489 ns        12300
SoAScan/255/1044480       56237 ns        56237 ns        12401
SoAScan/256/1048576      162162 ns       162164 ns         4234
SoAScan/257/1052672       56464 ns        56464 ns        12316
SoAScan/258/1056768       56435 ns        56435 ns        12369
SoAScan/259/1060864       56659 ns        56659 ns        12274
SoAScan/260/1064960       56685 ns        56683 ns        12311
SoAScan/261/1069056       56176 ns        56176 ns        12319
SoAScan/262/1073152       56447 ns        56445 ns        12366
SoAScan/263/1077248       56349 ns        56349 ns        12324
SoAScan/264/1081344       56518 ns        56518 ns        12254
SoAScan/265/1085440       56758 ns        56758 ns        12259
SoAScan/266/1089536       56270 ns        56270 ns        12369
SoAScan/267/1093632       56433 ns        56433 ns        12268
SoAScan/268/1097728       56363 ns        56362 ns        12293
SoAScan/269/1101824       56378 ns        56378 ns        12215
SoAScan/270/1105920       56656 ns        56656 ns        12265
SoAScan/271/1110016       56763 ns        56764 ns        12177
SoAScan/272/1114112       56854 ns        56853 ns        12176
SoAScan/273/1118208       56743 ns        56743 ns        12211
SoAScan/274/1122304       57035 ns        57035 ns        12143
SoAScan/275/1126400       57106 ns        57106 ns        12212
SoAScan/276/1130496       56810 ns        56809 ns        12177
SoAScan/277/1134592       56911 ns        56911 ns        12147
SoAScan/278/1138688       57089 ns        57089 ns        12226
SoAScan/279/1142784       57120 ns        57119 ns        12134
