---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
AoSScan/401/1642496       51721 ns        51722 ns        13450
AoSScan/402/1646592       51639 ns        51639 ns        13477
AoSScan/403/1650688       51634 ns        51634 ns        13451
AoSScan/404/1654784       51659 ns        51660 ns        13417
AoSScan/405/1658880       51729 ns        51729 ns        13341
AoSScan/406/1662976       51657 ns        51657 ns        13454
AoSScan/407/1667072       51736 ns        51737 ns        13424
AoSScan/408/1671168       51995 ns        51995 ns        13378
AoSScan/409/1675264       52014 ns        52014 ns        13380
AoSScan/410/1679360       51893 ns        51893 ns        13397
AoSScan/411/1683456       51912 ns        51912 ns        13427
AoSScan/412/1687552       51898 ns        51898 ns        13469
AoSScan/413/1691648       51823 ns        51823 ns        13357
AoSScan/414/1695744       51739 ns        51739 ns        13433
AoSScan/415/1699840       51884 ns        51884 ns        13415
AoSScan/416/1703936       51998 ns        51998 ns        13325
AoSScan/417/1708032       51874 ns        51873 ns        13452
AoSScan/418/1712128       51770 ns        51770 ns        13359
AoSScan/419/1716224       51842 ns        51843 ns        13474
AoSScan/420/1720320       51775 ns        51776 ns        13425
AoSScan/421/1724416       51701 ns        51701 ns        13450
AoSScan/422/1728512       52026 ns        52027 ns        13427
AoSScan/423/1732608       51765 ns        51766 ns        13350
AoSScan/424/1736704       52002 ns        52002 ns        13332
AoSScan/425/1740800       51823 ns        51824 ns        13461
AoSScan/426/1744896       51756 ns        51756 ns        13389
AoSScan/427/1748992       51847 ns        51847 ns        13429
AoSScan/428/1753088       51893 ns        51892 ns        13411
AoSScan/429/1757184       51856 ns        51856 ns        13411
AoSScan/430/1761280       51895 ns        51895 ns        13367
AoSScan/431/1765376       51991 ns        51992 ns        13314
AoSScan/432/1769472       52036 ns        52036 ns        13367
AoSScan/433/1773568       51894 ns        51894 ns        13438
AoSScan/434/1777664       51831 ns        51831 ns        13441
AoSScan/435/1781760       52041 ns        52041 ns        13328
AoSScan/436/1785856       51997 ns        51997 ns        13309
AoSScan/437/1789952       51754 ns        51754 ns        13383
AoSScan/438/1794048       51859 ns        51859 ns        13404
AoSScan/439/1798144       51953 ns        51952 ns        13356
AoSScan/440/1802240       51994 ns        51994 ns        13410
AoSScan/441/1806336       51920 ns        51920 ns        13374
AoSScan/442/1810432       52002 ns        52003 ns        13394
AoSScan/443/1814528       51922 ns        51922 ns        13334
AoSScan/444/1818624       52108 ns        52109 ns        13369
AoSScan/445/1822720       52078 ns        52078 ns        13382
AoSScan/446/1826816       51846 ns        51846 ns        13348
AoSScan/447/1830912       52103 ns        52103 ns        13332
AoSScan/448/1835008       75610 ns        75610 ns        11079
AoSScan/449/1839104       52035 ns        52035 ns        13434
AoSScan/450/1843200       51918 ns        51917 ns        13409
AoSScan/451/1847296       52132 ns        52132 ns        13344
AoSScan/452/1851392       52017 ns        52017 ns        13405
AoSScan/453/1855488       52051 ns        52051 ns        13393
AoSScan/454/1859584       52050 ns        52050 ns        13330
AoSScan/455/1863680       52027 ns        52027 ns        13348
AoSScan/456/1867776       52005 ns        52005 ns        13372
AoSScan/457/1871872       52030 ns        52031 ns        13317
AoSScan/458/1875968       51930 ns        51930 ns        13462
AoSScan/459/1880064       52037 ns        52037 ns        13395
AoSScan/460/1884160       51787 ns        51788 ns        13371
AoSScan/461/1888256       52133 ns        52132 ns        13365
AoSScan/462/1892352       51922 ns        51922 ns        13377
AoSScan/463/1896448       51938 ns        51938 ns        13417
AoSScan/464/1900544       52051 ns        52051 ns        13374
AoSScan/465/1904640       51623 ns        51623 ns        13531
AoSScan/466/1908736       51745 ns        51745 ns        13462
AoSScan/467/1912832       51865 ns        51865 ns        13495
AoSScan/468/1916928       51771 ns        51771 ns        13425
AoSScan/469/1921024       51737 ns        51737 ns        13460
AoSScan/470/1925120       51704 ns        51704 ns        13471
AoSScan/471/1929216       51637 ns        51637 ns        13457
AoSScan/472/1933312       51782 ns        51782 ns        13409
AoSScan/473/1937408       51727 ns        51728 ns        13529
AoSScan/474/1941504       51752 ns        51752 ns        13445
AoSScan/475/1945600       51766 ns        51766 ns        13458
AoSScan/476/1949696       51806 ns        51806 ns        13439
AoSScan/477/1953792       51733 ns        51732 ns        13493
AoSScan/478/1957888       51509 ns        51509 ns        13509
AoSScan/479/1961984       51720 ns        51720 ns        13488
AoSScan/480/1966080       51924 ns        51924 ns        13366
AoSScan/481/1970176       51760 ns        51760 ns        13429
AoSScan/482/1974272       51560 ns        51560 ns        13476
AoSScan/483/1978368       51743 ns        51743 ns        13508
AoSScan/484/1982464       51598 ns        51598 ns        13464
AoSScan/485/1986560       51816 ns        51815 ns        13412
AoSScan/486/1990656       52225 ns        52225 ns        12935
AoSScan/487/1994752       51668 ns        51668 ns        13478
AoSScan/488/1998848       51811 ns        51810 ns        13403
AoSScan/489/2002944       51827 ns        51827 ns        13453
AoSScan/490/2007040       51859 ns        51859 ns        13460
AoSScan/491/2011136       51968 ns        51968 ns        13354
AoSScan/492/2015232       51806 ns        51806 ns        13310
AoSScan/493/2019328       51676 ns        51676 ns        13454
AoSScan/494/2023424       51718 ns        51718 ns        13464
AoSScan/495/2027520       51858 ns        51857 ns        13450
AoSScan/496/2031616       52126 ns        52126 ns        13321
AoSScan/497/2035712       51749 ns        51748 ns        13471
AoSScan/498/2039808       51718 ns        51718 ns        13446
AoSScan/499/2043904       51768 ns        51767 ns        13454
AoSScan/500/2048000       51571 ns        51571 ns        13421
AoSScan/501/2052096       51754 ns        51753 ns        13483
AoSScan/502/2056192       51678 ns        51678 ns        13412
AoSScan/503/2060288       51769 ns        51769 ns        13433
AoSScan/504/2064384       51992 ns        51992 ns        13389
AoSScan/505/2068480       51892 ns        51892 ns        13372
AoSScan/506/2072576       51780 ns        51779 ns        13426
AoSScan/507/2076672       51607 ns        51607 ns        13461
AoSScan/508/2080768       51534 ns        51534 ns        13478
AoSScan/509/2084864       51812 ns        51811 ns        13395
AoSScan/510/2088960       51959 ns        51959 ns        13363
AoSScan/511/2093056       51842 ns        51842 ns        13383
AoSScan/512/2097152      144482 ns       144482 ns         4803
AoSScan/513/2101248       51920 ns        51920 ns        13342
