---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
AoSScan/229/937984        47308 ns        47307 ns        14803
AoSScan/230/942080        47335 ns        47335 ns        14292
AoSScan/231/946176        47297 ns        47297 ns        14745
AoSScan/232/950272        47401 ns        47399 ns        14754
AoSScan/233/954368        47238 ns        47236 ns        14804
AoSScan/234/958464        47323 ns        47323 ns        14792
AoSScan/235/962560        47325 ns        47325 ns        14801
AoSScan/236/966656        47384 ns        47384 ns        14770
AoSScan/237/970752        47339 ns        47339 ns        14749
AoSScan/238/974848        47389 ns        47388 ns        14785
AoSScan/239/978944        47415 ns        47415 ns        14789
AoSScan/240/983040        47882 ns        47881 ns        14632
AoSScan/241/987136        47443 ns        47441 ns        14759
AoSScan/242/991232        47429 ns        47430 ns        14750
AoSScan/243/995328        47385 ns        47385 ns        14774
AoSScan/244/999424        47445 ns        47445 ns        14758
AoSScan/245/1003520       47452 ns        47452 ns        14779
AoSScan/246/1007616       47407 ns        47406 ns        14747
AoSScan/247/1011712       47645 ns        47645 ns        14690
AoSScan/248/1015808       47923 ns        47921 ns        14629
AoSScan/249/1019904       47691 ns        47691 ns        14728
AoSScan/250/1024000       47531 ns        47529 ns        14717
AoSScan/251/1028096       47478 ns        47477 ns        14743
AoSScan/252/1032192       47474 ns        47474 ns        14746
AoSScan/253/1036288       47576 ns        47576 ns        14697
AoSScan/254/1040384       47734 ns        47734 ns        14665
AoSScan/255/1044480       47835 ns        47834 ns        14632
AoSScan/256/1048576      151503 ns       151503 ns         4357
AoSScan/257/1052672       47842 ns        47842 ns        14606
AoSScan/258/1056768       47817 ns        47816 ns        14693
AoSScan/259/1060864       47575 ns        47574 ns        14712
AoSScan/260/1064960       47589 ns        47588 ns        14716
AoSScan/261/1069056       47479 ns        47479 ns        14724
AoSScan/262/1073152       47668 ns        47666 ns        14699
AoSScan/263/1077248       47609 ns        47608 ns        14709
AoSScan/264/1081344       47880 ns        47880 ns        14588
AoSScan/265/1085440       47523 ns        47522 ns        14713
AoSScan/266/1089536       47611 ns        47611 ns        14704
AoSScan/267/1093632       47541 ns        47542 ns        14700
AoSScan/268/1097728       47712 ns        47711 ns        14686
AoSScan/269/1101824       47586 ns        47585 ns        14715
AoSScan/270/1105920       47524 ns        47523 ns        14740
AoSScan/271/1110016       47589 ns        47589 ns        14723
AoSScan/272/1114112       48038 ns        48038 ns        14608
AoSScan/273/1118208       47607 ns        47605 ns        14719
AoSScan/274/1122304       47532 ns        47531 ns        14707
AoSScan/275/1126400       47540 ns        47541 ns        14710
AoSScan/276/1130496       47473 ns        47473 ns        14717
